# Number of wavelengths (nwvl):
 158
# Number of radius (nsize):
   50
# Wavelength axis (wvl):
 0.148601E-01 0.160138E-01 0.150490E-01 0.127446E-01 0.118831E-01
 0.119009E-01 0.115751E-01 0.125848E-01 0.110698E-01 0.133537E-01
 0.136065E-01 0.180504E-01 0.124569E+00 0.423605E+00 0.817199E+00
 0.406896E+00 0.376628E-01 0.571030E-01 0.113837E-01 0.973252E-02
 0.879468E-02 0.809466E-02 0.753631E-02 0.705873E-02 0.665044E-02
 0.629545E-02 0.597449E-02 0.568230E-02 0.541857E-02 0.516904E-02
 0.493788E-02 0.472213E-02 0.453709E-02 0.435184E-02 0.418887E-02
 0.401802E-02 0.386048E-02 0.371921E-02 0.358267E-02 0.344926E-02
 0.332308E-02 0.320104E-02 0.309068E-02 0.298123E-02 0.287875E-02
 0.121189E-02 0.601520E-03 0.331873E-03 0.198365E-03 0.124787E-03
 0.826784E-04 0.566237E-04 0.400653E-04 0.292670E-04 0.217377E-04
 0.163312E-04 0.864101E-03 0.338053E-02 0.203996E-01 0.102689E-01
 0.198136E-02 0.339216E-03 0.428150E-05 0.666570E-03 0.100580E-03
 0.802972E-04 0.213694E-05 0.258672E-04 0.185471E-03 0.833617E-03
 0.312365E-02 0.107911E-01 0.106476E-01 0.381095E-02 0.279760E-04
 0.831489E-06 0.849206E-04 0.815763E-03 0.136001E-02 0.105950E-02
 0.421449E-03 0.444604E-06 0.414909E-06 0.388515E-06 0.234235E-06
 0.175632E-06 0.149705E-06 0.136746E-06 0.129698E-06 0.125609E-06
 0.123129E-06 0.121496E-06 0.120452E-06 0.119718E-06 0.119221E-06
 0.118830E-06 0.118573E-06 0.118366E-06 0.118210E-06 0.118087E-06
 0.118006E-06 0.117895E-06 0.117823E-06
# Radius number     3
 0.722451E+00 0.339239E+00 0.276087E+01 0.124223E+01 0.943263E+00
 0.792759E+00 0.692053E+00 0.614720E+00 0.552957E+00 0.501451E+00
 0.457236E+00 0.418913E+00 0.384855E+00 0.354212E+00 0.327126E+00
 0.302059E+00 0.279352E+00 0.258623E+00 0.239432E+00 0.221870E+00
 0.207107E+00 0.191176E+00 0.177502E+00 0.164904E+00 0.153505E+00
 0.142780E+00 0.132889E+00 0.123698E+00 0.115453E+00 0.107827E+00
 0.100587E+00 0.939942E-01 0.879337E-01 0.821725E-01 0.769213E-01
 0.721226E-01 0.675168E-01 0.634915E-01 0.595766E-01 0.560187E-01
 0.526092E-01 0.493129E-01 0.464011E-01 0.436914E-01 0.411879E-01
 0.388162E-01 0.365342E-01 0.343107E-01 0.323676E-01 0.304641E-01
 0.288024E-01 0.271544E-01 0.255651E-01 0.239957E-01 0.240534E-01
 0.234962E-01 0.244903E-01 0.230154E-01 0.199834E-01 0.185895E-01
 0.182743E-01 0.175258E-01 0.183221E-01 0.161505E-01 0.182852E-01
 0.179701E-01 0.221925E-01 0.142761E+00 0.480620E+00 0.950558E+00
 0.503426E+00 0.532335E-01 0.730030E-01 0.189599E-01 0.161858E-01
 0.146160E-01 0.134466E-01 0.125154E-01 0.117200E-01 0.110403E-01
 0.104499E-01 0.991628E-02 0.943071E-02 0.899263E-02 0.857840E-02
 0.819451E-02 0.783628E-02 0.752931E-02 0.722187E-02 0.695157E-02
 0.666810E-02 0.640665E-02 0.617231E-02 0.594578E-02 0.572441E-02
 0.551503E-02 0.531261E-02 0.512955E-02 0.494793E-02 0.477790E-02
 0.201209E-02 0.998819E-03 0.551082E-03 0.329375E-03 0.207181E-03
 0.137249E-03 0.939775E-04 0.664775E-04 0.485439E-04 0.360393E-04
 0.270598E-04 0.988233E-03 0.384583E-02 0.231800E-01 0.116724E-01
 0.225466E-02 0.388109E-03 0.705010E-05 0.758952E-03 0.115751E-03
 0.924618E-04 0.348743E-05 0.302670E-04 0.211376E-03 0.947287E-03
 0.354766E-02 0.122541E-01 0.120912E-01 0.432804E-02 0.322063E-04
 0.132092E-05 0.967551E-04 0.926577E-03 0.154451E-02 0.120325E-02
 0.478747E-03 0.676622E-06 0.627289E-06 0.583437E-06 0.327220E-06
 0.229922E-06 0.186842E-06 0.165325E-06 0.153620E-06 0.146832E-06
 0.142702E-06 0.140005E-06 0.138260E-06 0.137044E-06 0.136210E-06
 0.135571E-06 0.135137E-06 0.134795E-06 0.134537E-06 0.134335E-06
 0.134194E-06 0.134028E-06 0.133916E-06
# Radius number     4
 0.990659E+00 0.448517E+00 0.324876E+01 0.169766E+01 0.133855E+01
 0.114176E+01 0.100198E+01 0.890082E+00 0.798595E+00 0.721683E+00
 0.655944E+00 0.599698E+00 0.550568E+00 0.507156E+00 0.469448E+00
 0.434997E+00 0.404096E+00 0.376076E+00 0.350176E+00 0.326450E+00
 0.306637E+00 0.284813E+00 0.266062E+00 0.248665E+00 0.232812E+00
 0.217749E+00 0.203735E+00 0.190584E+00 0.178722E+00 0.167651E+00
 0.157043E+00 0.147320E+00 0.138317E+00 0.129689E+00 0.121783E+00
 0.114518E+00 0.107494E+00 0.101342E+00 0.953137E-01 0.898151E-01
 0.845154E-01 0.793760E-01 0.748169E-01 0.705598E-01 0.666157E-01
 0.628658E-01 0.592436E-01 0.557072E-01 0.526095E-01 0.495638E-01
 0.469053E-01 0.442589E-01 0.417002E-01 0.391697E-01 0.385846E-01
 0.373416E-01 0.379569E-01 0.356821E-01 0.315895E-01 0.293413E-01
 0.284405E-01 0.269778E-01 0.273049E-01 0.241127E-01 0.257729E-01
 0.244313E-01 0.278711E-01 0.163930E+00 0.544395E+00 0.110605E+01
 0.634619E+00 0.777481E-01 0.960396E-01 0.315455E-01 0.268837E-01
 0.242575E-01 0.223062E-01 0.207551E-01 0.194327E-01 0.183032E-01
 0.173230E-01 0.164375E-01 0.156321E-01 0.149059E-01 0.142196E-01
 0.135833E-01 0.129896E-01 0.124815E-01 0.119721E-01 0.115248E-01
 0.110553E-01 0.106221E-01 0.102341E-01 0.985892E-02 0.949215E-02
 0.914526E-02 0.881006E-02 0.850685E-02 0.820590E-02 0.792420E-02
 0.333968E-02 0.165832E-02 0.915044E-03 0.546919E-03 0.343999E-03
 0.227865E-03 0.156003E-03 0.110332E-03 0.805496E-04 0.597820E-04
 0.448686E-04 0.113375E-02 0.437872E-02 0.263469E-01 0.132735E-01
 0.256810E-02 0.445554E-03 0.116402E-04 0.865219E-03 0.133998E-03
 0.107126E-03 0.572202E-05 0.358555E-04 0.241313E-03 0.107689E-02
 0.402985E-02 0.139168E-01 0.137318E-01 0.491598E-02 0.373026E-04
 0.212568E-05 0.110417E-03 0.105266E-02 0.175428E-02 0.136671E-02
 0.543979E-03 0.105361E-05 0.971653E-06 0.898807E-06 0.473292E-06
 0.311732E-06 0.240163E-06 0.204434E-06 0.184995E-06 0.173725E-06
 0.166852E-06 0.162389E-06 0.159481E-06 0.157463E-06 0.156069E-06
 0.155021E-06 0.154291E-06 0.153725E-06 0.153298E-06 0.152965E-06
 0.152723E-06 0.152471E-06 0.152292E-06
# Radius number     5
 0.129415E+01 0.586955E+00 0.387023E+01 0.214523E+01 0.175689E+01
 0.154378E+01 0.138756E+01 0.125564E+01 0.114115E+01 0.103926E+01
 0.947842E+00 0.866791E+00 0.794400E+00 0.729778E+00 0.673677E+00
 0.622818E+00 0.577793E+00 0.537603E+00 0.501022E+00 0.467989E+00
 0.440933E+00 0.411043E+00 0.385651E+00 0.362185E+00 0.340847E+00
 0.320515E+00 0.301537E+00 0.283617E+00 0.267417E+00 0.252185E+00
 0.237454E+00 0.223868E+00 0.211193E+00 0.198928E+00 0.187617E+00
 0.177153E+00 0.166938E+00 0.157966E+00 0.149085E+00 0.140941E+00
 0.133028E+00 0.125318E+00 0.118436E+00 0.111977E+00 0.105967E+00
 0.100222E+00 0.946392E-01 0.891706E-01 0.843627E-01 0.796081E-01
 0.754574E-01 0.713021E-01 0.672679E-01 0.632679E-01 0.615996E-01
 0.592521E-01 0.591456E-01 0.556433E-01 0.500082E-01 0.464165E-01
 0.445366E-01 0.419048E-01 0.413449E-01 0.365714E-01 0.372062E-01
 0.340987E-01 0.358059E-01 0.188619E+00 0.615029E+00 0.128321E+01
 0.814513E+00 0.116717E+00 0.130087E+00 0.523419E-01 0.445228E-01
 0.401423E-01 0.368971E-01 0.343232E-01 0.321335E-01 0.302639E-01
 0.286431E-01 0.271798E-01 0.258493E-01 0.246503E-01 0.235181E-01
 0.224674E-01 0.214871E-01 0.206492E-01 0.198085E-01 0.190708E-01
 0.182960E-01 0.175806E-01 0.169403E-01 0.163209E-01 0.157151E-01
 0.151421E-01 0.145886E-01 0.140878E-01 0.135905E-01 0.131250E-01
 0.554020E-02 0.275259E-02 0.151921E-02 0.908108E-03 0.571176E-03
 0.378333E-03 0.258995E-03 0.183150E-03 0.133691E-03 0.992017E-04
 0.744338E-04 0.130647E-02 0.499109E-02 0.299581E-01 0.151030E-01
 0.292900E-02 0.513966E-03 0.192547E-04 0.988127E-03 0.156410E-03
 0.125188E-03 0.942386E-05 0.431846E-04 0.276169E-03 0.122491E-02
 0.457854E-02 0.158070E-01 0.155970E-01 0.558480E-02 0.435750E-04
 0.345307E-05 0.126301E-03 0.119626E-02 0.199292E-02 0.155270E-02
 0.618328E-03 0.167022E-05 0.153409E-05 0.141309E-05 0.706401E-06
 0.438119E-06 0.319232E-06 0.259900E-06 0.227617E-06 0.208905E-06
 0.197475E-06 0.190082E-06 0.185238E-06 0.181891E-06 0.179565E-06
 0.177839E-06 0.176617E-06 0.175680E-06 0.174970E-06 0.174419E-06
 0.174010E-06 0.173617E-06 0.173329E-06
# Radius number     6
 0.166097E+01 0.752254E+00 0.423171E+01 0.267427E+01 0.221279E+01
 0.196363E+01 0.178954E+01 0.164815E+01 0.152709E+01 0.141782E+01
 0.131604E+01 0.122122E+01 0.113184E+01 0.104773E+01 0.971371E+00
